name;categories;subcategories;calories;protein;fat;carbs;calcium;iron;magnesium;allergens
Marzipan;Süssigkeiten;Sonstige Süssigkeiten;474.0;8.0;17.6;68.6;82.0;1.5;72.0;
Mascarpone;Milch und Milchprodukte;Frischkäse und Quark;435.0;4.5;44.5;4.1;68.0;0.2;0.0;milk
Mayonnaise;Fette und Öle;Mayonnaisen;742.0;1.1;81.7;0.5;15.0;0.6;7.0;
Mayonnaise, calorie reduced;Fette und Öle;Mayonnaisen;327.0;0.9;34.5;3.3;66.0;1.0;12.0;
Mayonnaise, with rapeseed oil, homemade;Fette und Öle;Mayonnaisen;792.0;2.4;86.9;0.1;20.0;0.8;2.0;
Flour;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Mehle und Stärke;343.0;12.4;1.4;67.8;14.0;1.9;45.0;
Flour, light;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Mehle und Stärke;344.0;12.2;1.3;68.9;11.0;1.5;33.0;
Molasses, treacle;Süssigkeiten;Konfitüren und süsse Brotaufstriche;274.0;1.2;0.0;67.2;500.0;9.2;140.0;
Meringue;Süssigkeiten;Sonstige Süssigkeiten;401.0;5.0;0.5;94.0;4.0;0.2;5.0;
Mussel, raw;Fisch;Meeresfrüchte, Krusten- und Schalentiere;85.0;11.7;2.7;3.4;88.0;5.8;36.0;mollusk
Milk;Milch und Milchprodukte;Milch;62.0;3.2;3.4;4.6;120.0;0.0;10.0;milk
Coffee with milk, dark, unsweetened;Milch und Milchprodukte;Milch- und Joghurtgetränke,Alkoholfreie Getränke;16.0;0.7;0.9;1.2;32.0;0.0;4.8;milk
Coffee with milk, light, unsweetened;Milch und Milchprodukte;Milch- und Joghurtgetränke,Alkoholfreie Getränke;22.0;1.0;1.2;1.6;42.0;0.0;5.4;milk
Coffee with milk, unsweetened;Milch und Milchprodukte;Milch- und Joghurtgetränke,Alkoholfreie Getränke;19.0;0.9;1.1;1.4;38.0;0.0;5.1;milk
Rice pudding, prepared;Süssigkeiten;Cremen und Pudding;129.0;5.3;3.5;19.0;150.0;0.1;17.0;
Rice pudding, prepared;Süssigkeiten;Cremen und Pudding;143.0;5.1;5.1;19.0;150.0;0.1;17.0;
Milk chocolate;Süssigkeiten;Schokolade und Kakaoerzeugnisse;537.0;6.5;31.1;56.9;250.0;2.1;55.0;
Minipic sausages;Fleisch- und Wurstwaren;Rohwurstware;460.0;26.1;39.1;0.8;0.0;3.0;28.0;
Mirabelle, steamed, drained;Früchte;Früchte gekocht (inkl. Konserven);70.0;0.7;0.2;16.6;12.0;0.1;7.5;
Mirabelle, raw;Früchte;Früchte frisch;76.0;0.6;0.2;18.0;11.0;0.1;8.2;
Whey, sweet;Milch und Milchprodukte;Milch- und Joghurtgetränke;24.0;0.8;0.2;4.7;68.0;0.1;8.0;milk
Morel, steamed;Gemüse;Pilze;34.0;2.8;0.4;0.6;13.0;1.2;16.0;
Morel, raw;Gemüse;Pilze;29.0;2.5;0.3;0.5;11.0;1.2;16.0;
Mortadella;Fleisch- und Wurstwaren;Brühwurstware;314.0;16.1;27.3;0.8;3.9;0.9;13.0;
Mostbröckli;Fleisch- und Wurstwaren;Rohwurstware;150.0;32.6;1.9;0.5;0.0;3.3;33.0;
Mozzarella;Milch und Milchprodukte;Weichkäse,Milch und Milchprodukte;256.0;19.5;19.5;0.7;340.0;0.1;10.0;milk
Shortcrust , sweet, unbaked;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Teige;393.0;6.4;19.7;46.7;9.3;0.8;17.0;
Nectarine, raw;Früchte;Früchte frisch;55.0;1.0;0.3;11.3;7.0;0.2;9.0;
Lamb's lettuce, raw;Gemüse;Gemüse frisch;23.0;2.0;0.4;2.0;38.0;2.1;13.0;
Nut bun from yeast dough;Süssigkeiten;Sonstige süsse Backwaren;445.0;12.2;18.7;54.9;69.0;1.6;42.0;
Oven fries, deep-frozen;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Kartoffeln;127.0;1.8;5.0;18.1;5.2;0.3;15.0;
Olive, green, in brine, drained;Nüsse, Samen und Ölfrüchte;;154.0;1.3;15.7;0.0;58.0;0.2;24.0;
Olive, black;Nüsse, Samen und Ölfrüchte;;176.0;1.4;17.2;0.8;80.0;8.5;16.0;
Olive oil;Fette und Öle;Öle;810.0;0.0;90.0;0.0;0.0;0.1;0.9;
Orange, raw;Früchte;Früchte frisch;45.0;0.8;0.2;8.0;45.0;0.3;15.0;
Orange nectar;Alkoholfreie Getränke;Süssgetränke,Alkoholfreie Getränke;44.0;0.4;0.0;10.5;6.0;0.1;7.0;
Orange juice;Früchte;Fruchtsäfte,Alkoholfreie Getränke;44.0;0.6;0.1;10.0;8.3;0.1;10.0;
Palm oil - palm fat;Fette und Öle;Öle,Fette und Öle;799.0;0.0;88.8;0.0;0.9;0.0;0.9;
Pancetta;Fleisch- und Wurstwaren;Rohwurstware;467.0;19.5;43.0;0.4;13.0;0.8;0.0;
Panettone;Süssigkeiten;Sonstige süsse Backwaren;354.0;6.4;10.7;56.5;150.0;3.0;0.0;
Breadcrumbs;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Mehle und Stärke;373.0;12.7;2.1;73.5;50.0;1.2;23.0;
Pantli;Fleisch- und Wurstwaren;Rohwurstware;553.0;21.7;51.4;0.9;5.1;1.7;22.0;
Papaya, ripe, raw;Früchte;Früchte frisch;44.0;0.5;0.1;9.5;21.0;0.2;17.0;
Paprika;Verschiedenes;Salz, Gewürze und Aromen;358.0;14.8;13.0;34.9;180.0;24.0;190.0;
Brazil nut;Nüsse, Samen und Ölfrüchte;;698.0;17.0;66.5;4.2;160.0;2.4;350.0;shellFruit
Parisian bread;Brote, Flocken und Frühstückscerealien;Brote und Brotwaren;255.0;9.0;0.9;51.2;10.0;0.9;22.0;
Parmesan;Milch und Milchprodukte;Hartkäse;401.0;30.5;31.0;0.0;1340.0;0.7;44.0;milk
Passion fruit, raw;Früchte;Früchte frisch;102.0;2.1;3.0;10.9;8.1;0.6;26.0;
Parsnip, cooked;Gemüse;Gemüse gekocht (inkl. Konserven);58.0;1.2;0.4;11.4;47.0;0.6;16.0;
Parsnip, raw;Gemüse;Gemüse frisch;62.0;1.3;0.4;12.1;47.0;0.7;26.0;
Pepperoni, green, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);25.0;1.0;0.4;3.2;7.7;0.3;6.6;
Pepperoni, green, raw;Gemüse;Gemüse frisch;20.0;0.8;0.3;2.6;6.0;0.3;6.0;
Pepperoni, red, stewed;Gemüse;Gemüse gekocht (inkl. Konserven);39.0;1.1;0.4;6.4;11.0;0.4;13.0;
Pepperoni, red, raw;Gemüse;Gemüse frisch;32.0;0.9;0.4;5.2;9.0;0.4;12.0;
Pesto sauce, green;Verschiedenes;Saucen;430.0;3.9;42.5;6.6;150.0;0.6;36.0;
Pesto sauce, red;Verschiedenes;Saucen;398.0;5.7;35.8;10.8;99.0;2.0;58.0;
Parsley, raw;Gemüse;Kräuter;58.0;3.9;0.5;7.4;210.0;5.9;37.0;
Petit beurre;Süssigkeiten;Guetzli;431.0;8.7;12.4;70.2;11.0;1.1;24.0;
Peppermint, raw;Gemüse;Kräuter;49.0;3.8;0.7;5.3;210.0;9.5;30.0;
Horse, fillet, roasted;Fleisch und Innereien;Sonstige Tierarten;129.0;27.8;2.0;0.0;16.0;6.2;27.0;
Horse, fillet, raw;Fleisch und Innereien;Sonstige Tierarten;102.0;21.4;1.9;0.0;13.0;4.7;23.0;
Horse ragout with sauce, prepared;Gerichte;Sonstige salzige;88.0;11.8;3.1;3.0;14.0;2.8;11.0;
Peach, yellow, raw;Früchte;Früchte frisch;43.0;0.8;0.1;8.9;7.3;0.2;9.0;
Peach, in syrup, canned, drained;Früchte;Früchte gekocht (inkl. Konserven);82.0;0.7;0.1;18.6;7.2;0.1;7.4;
Peach, with sweetener, canned, drained;Früchte;Früchte gekocht (inkl. Konserven);40.0;0.8;0.1;8.1;7.9;0.2;8.2;
Plum, steamed, drained;Früchte;Früchte gekocht (inkl. Konserven);48.0;0.7;0.2;10.1;9.7;0.3;7.3;
Plum, dried;Früchte;Früchte getrocknet;227.0;1.6;0.4;55.4;50.0;0.4;30.0;
Plum, raw;Früchte;Früchte frisch;48.0;0.6;0.2;10.2;8.3;0.3;7.4;
Mushroom , steamed;Gemüse;Pilze;34.0;3.9;0.4;0.7;8.9;2.5;13.0;
Mushroom , raw;Gemüse;Pilze;29.0;3.5;0.4;0.6;7.6;2.4;13.0;
Pine nuts;Nüsse, Samen und Ölfrüchte;;688.0;16.5;61.9;13.0;20.0;6.5;370.0;
Pistachio;Nüsse, Samen und Ölfrüchte;;594.0;23.8;45.4;17.6;92.0;2.8;120.0;shellFruit
Pizza dough , unbaked;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Teige;229.0;7.0;3.6;41.2;5.9;0.4;9.4;
French fries;Salzige Snacks;Chips;538.0;4.9;34.8;49.3;14.0;0.9;40.0;
French fries reduced fat;Salzige Snacks;Chips;468.0;5.9;22.1;59.2;17.0;1.1;48.0;
French fries , unsalted;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Kartoffeln;232.0;3.3;9.1;33.0;9.5;0.6;27.0;
French fries , unsalted;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Kartoffeln;286.0;3.2;15.4;32.4;9.4;0.6;26.0;
Popcorn;Salzige Snacks;Sonstige salzige Snacks;367.0;12.0;4.2;62.9;10.0;2.7;110.0;
Port wine, 18.5 vol%;Alkoholhaltige Getränke;Wein;152.0;0.2;0.0;12.0;7.0;0.4;9.0;
Chicken, breast, with skin, raw;Fleisch und Innereien;Geflügel;152.0;23.3;6.5;0.0;3.9;0.3;26.0;
Chicken, breast, without skin, raw;Fleisch und Innereien;Geflügel;107.0;24.6;1.0;0.0;3.3;0.3;27.0;
Chicken, breast, escalope or cutlet, roasted;Fleisch und Innereien;Geflügel;128.0;30.1;0.8;0.0;4.1;0.4;27.0;
Chicken, whole, with skin, roasted;Fleisch und Innereien;Geflügel;193.0;25.1;10.3;0.0;15.0;0.9;21.0;
Chicken, whole, with skin, raw;Fleisch und Innereien;Geflügel;168.0;18.8;10.3;0.0;12.0;0.7;20.0;
Chicken, thigh, with skin, roasted;Fleisch und Innereien;Geflügel;187.0;23.9;10.2;0.0;7.2;0.6;21.0;
Chicken, thigh, with skin, raw;Fleisch und Innereien;Geflügel;163.0;17.9;10.2;0.0;5.7;0.5;20.0;
Chicken, thigh, without skin, raw;Fleisch und Innereien;Geflügel;135.0;19.7;6.2;0.0;5.6;0.5;20.0;
Cranberry, raw;Früchte;Früchte frisch;36.0;0.3;0.5;6.2;14.0;0.5;6.0;
Pudding, Caramel;Süssigkeiten;Cremen und Pudding;125.0;3.4;2.1;23.0;94.0;0.0;9.0;
Pudding, chocolate;Süssigkeiten;Cremen und Pudding;121.0;3.0;2.6;21.0;90.0;0.5;14.0;
Pudding, vanilla;Süssigkeiten;Cremen und Pudding;102.0;2.8;2.1;18.0;96.0;0.1;10.0;
Quark, nature, half-fat;Milch und Milchprodukte;Frischkäse und Quark;99.0;9.4;5.0;4.1;110.0;0.0;9.3;milk
Quark, nature, lean;Milch und Milchprodukte;Frischkäse und Quark;61.0;10.6;0.2;4.2;110.0;0.0;9.9;milk
Quark, nature, cream;Milch und Milchprodukte;Frischkäse und Quark;183.0;6.9;15.6;3.7;93.0;0.0;8.1;milk
Curd sheet dough , unbaked;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Teige;401.0;7.1;28.3;29.0;38.0;0.6;16.0;
Curd sheet dough , unbaked;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Teige;396.0;7.1;27.7;28.9;37.0;0.6;16.0;
Quince, cooked, drained;Früchte;Früchte gekocht (inkl. Konserven);49.0;0.5;0.6;7.3;12.0;0.7;8.2;
Quince, raw;Früchte;Früchte frisch;47.0;0.4;0.5;7.3;10.0;0.6;8.2;
Raclette cheese;Milch und Milchprodukte;Hartkäse;357.0;25.9;27.9;0.0;670.0;0.1;27.0;milk
Radish, raw;Gemüse;Gemüse frisch;17.0;1.1;0.1;2.1;26.0;0.4;9.4;
Cream;Fette und Öle;Rahm,Milch und Milchprodukte;252.0;2.3;25.4;3.4;84.0;0.0;7.5;
Cream ice cream, fruit;Süssigkeiten;Glacen auf Milchbasis;185.0;3.5;8.0;24.7;110.0;0.5;0.0;
Cream caramels;Süssigkeiten;Bonbons, Frucht- und Kaugummi;351.0;0.4;3.6;79.3;21.0;0.8;5.0;
Rim, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);54.0;1.8;0.1;10.0;20.0;1.0;22.0;
Rim, raw;Gemüse;Gemüse frisch;46.0;1.5;0.1;8.4;17.0;0.9;21.0;
Rapeseed oil;Fette und Öle;Öle;810.0;0.0;90.0;0.0;0.0;0.0;0.0;
Rapeseed oil HOLL;Fette und Öle;Öle;810.0;0.0;90.0;0.0;0.0;0.0;0.0;
Reblochon;Milch und Milchprodukte;Weichkäse;307.0;19.9;25.2;0.0;390.0;0.1;20.0;milk
Venison , raw;Fleisch und Innereien;Wild;122.0;22.4;3.6;0.0;25.0;3.0;20.0;
Venison, ragout, raw;Fleisch und Innereien;Wild;105.0;22.0;1.9;0.0;3.7;2.7;20.0;
Venison, cutlet, raw;Fleisch und Innereien;Wild;105.0;22.5;1.7;0.0;4.2;2.8;22.0;
Grated cheese;Milch und Milchprodukte;Hartkäse;406.0;29.3;32.1;0.0;1190.0;0.5;41.0;milk
Rice parboiled, cooked in salted water;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Reis;120.0;2.4;0.3;26.7;24.0;0.1;11.0;
Rice parboiled, dry;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Reis;356.0;7.5;1.0;78.6;58.0;0.4;32.0;
Rice polished, cooked in salted water;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Reis;116.0;2.3;0.3;25.8;6.6;0.1;8.8;
Rice polished, dry;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Reis;352.0;7.4;0.9;78.0;5.8;0.2;24.0;
Rice unpolished, cooked in salted water;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Reis;126.0;2.7;1.0;25.7;8.6;0.4;45.0;
Rice unpolished, dry;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Reis;350.0;7.4;2.8;71.4;11.0;1.1;120.0;
Rice drink, nature;Milch und Milchprodukte;Milchersatzprodukte;52.0;0.4;1.1;9.9;5.0;0.0;3.3;milk
Radish, raw;Gemüse;Gemüse frisch;18.0;0.6;0.3;2.6;20.0;0.8;7.0;
Rhubarb, raw;Früchte;Früchte frisch;22.0;0.8;0.2;1.5;130.0;0.3;14.0;
Beef, breast, cooked;Fleisch und Innereien;Rind;254.0;28.3;15.6;0.0;5.3;3.6;18.0;
Beef, breast, raw;Fleisch und Innereien;Rind;188.0;18.9;12.5;0.0;4.0;2.2;18.0;
Beef, corner piece, raw;Fleisch und Innereien;Rind;111.0;22.6;2.3;0.0;3.8;2.2;23.0;
"Beef, entrecôte, ""medium"" roasted";Fleisch und Innereien;Rind;162.0;30.2;4.6;0.0;6.0;1.7;23.0;
Beef, entrecôte, raw;Fleisch und Innereien;Rind;133.0;23.2;4.5;0.0;4.9;1.3;20.0;
"Beef, fillet, ""medium"" roasted";Fleisch und Innereien;Rind;128.0;27.7;2.0;0.0;3.6;2.9;25.0;
Beef, fillet, raw;Fleisch und Innereien;Rind;105.0;21.9;2.0;0.0;3.0;2.3;22.0;
Beef, minced, roasted;Fleisch und Innereien;Rind;211.0;32.6;8.9;0.0;7.1;3.0;23.0;
Beef, minced, raw;Fleisch und Innereien;Rind;154.0;21.6;7.5;0.0;5.0;2.0;17.0;
Beef, cut into strips, raw;Fleisch und Innereien;Rind;102.0;22.2;1.5;0.0;4.2;1.4;20.0;
Beef, neck, raw;Fleisch und Innereien;Rind;150.0;19.3;8.1;0.0;6.8;2.1;18.0;
Beef, saddle of pork, raw;Fleisch und Innereien;Rind;165.0;21.1;9.0;0.0;4.4;1.5;18.0;
Beef, liver, raw;Fleisch und Innereien;Rind;138.0;20.5;3.9;5.3;7.0;7.0;17.0;
Beef, Round Mock, raw;Fleisch und Innereien;Rind;106.0;22.4;1.8;0.0;5.1;1.0;20.0;
"Beef, shoulder, roast ""medium"", roasted in the oven";Fleisch und Innereien;Rind;146.0;28.5;3.6;0.0;5.0;2.4;22.0;
"Beef, shoulder, roast ""rare"", roasted in the oven";Fleisch und Innereien;Rind;135.0;26.3;3.3;0.0;4.6;2.2;21.0;
"Beef, shoulder, roast ""well done"", roasted in the oven";Fleisch und Innereien;Rind;170.0;33.1;4.2;0.0;5.8;2.8;26.0;
Beef, shoulder, roast, raw;Fleisch und Innereien;Rind;117.0;21.6;3.5;0.0;4.0;1.8;19.0;
Beef, boiled meat, streaked, raw;Fleisch und Innereien;Rind;227.0;19.5;16.6;0.0;4.1;1.2;18.0;
Beef, boiled meat, streaked, cooked;Fleisch und Innereien;Rind;276.0;26.6;18.9;0.0;5.0;1.8;16.0;
Beef, boiled meat, lean, cooked;Fleisch und Innereien;Rind;190.0;31.7;7.1;0.0;5.9;2.8;19.0;
Beef, boiled meat, lean, raw;Fleisch und Innereien;Rind;132.0;20.7;5.5;0.0;4.4;1.7;18.0;
Beef, starter, raw;Fleisch und Innereien;Rind;97.0;21.2;1.3;0.0;3.9;1.2;18.0;
Beef, tongue, raw;Fleisch und Innereien;Rind;196.0;16.0;13.0;3.7;10.0;3.0;18.0;
Beef , raw;Fleisch und Innereien;Rind;134.0;21.4;5.4;0.0;4.5;1.8;20.0;
Ribs , raw;Fleisch- und Wurstwaren;Kochwurstware;155.0;21.7;7.3;0.5;32.0;1.5;54.0;
Ristretto crème, unsweetened;Alkoholfreie Getränke;Kaffee;47.0;0.8;4.3;1.3;33.0;0.0;4.7;
Rye bread with sourdough;Brote, Flocken und Frühstückscerealien;Brote und Brotwaren;215.0;6.5;0.9;41.5;20.0;1.8;45.0;gluten
Rye flour, semi-white, type 815;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Mehle und Stärke;334.0;6.9;1.0;71.0;22.0;2.1;26.0;gluten
Rye flour, Ruch, type 1050;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Mehle und Stärke;336.0;9.0;1.3;67.8;28.0;2.1;50.0;gluten
Rye flour, wholemeal, meal, type 1800;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Mehle und Stärke;337.0;10.8;1.5;63.1;26.0;3.2;82.0;gluten
Rye bread;Brote, Flocken und Frühstückscerealien;Brote und Brotwaren;235.0;7.7;1.0;44.1;21.0;2.2;56.0;gluten
Raw bacon;Fleisch- und Wurstwaren;Rohwurstware;400.0;22.1;34.3;0.6;0.0;0.0;22.0;
Raw cured products;Fleisch- und Wurstwaren;Rohwurstware;274.0;29.4;17.2;0.4;10.0;2.8;21.0;
Raw ham;Fleisch- und Wurstwaren;Rohwurstware;229.0;31.0;11.5;0.3;9.0;2.8;30.0;
Raw sausages with aborted maturation;Fleisch- und Wurstwaren;Rohwurstware;313.0;17.7;26.6;0.7;11.0;0.9;19.0;
Raw sausages/permanent sausages;Fleisch- und Wurstwaren;Rohwurstware;445.0;22.2;39.4;0.2;7.1;1.5;19.0;
Rolled barley;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Sonstige Getreideprodukte;347.0;10.4;1.4;71.0;18.0;3.0;65.0;gluten
Rollmops;Fisch;Fischerzeugnisse;270.0;12.0;15.9;19.6;30.0;0.9;6.4;
Rolled ham;Fleisch- und Wurstwaren;Kochwurstware;181.0;20.3;10.6;1.2;7.7;0.7;21.0;
Rolled ham, cooked;Fleisch- und Wurstwaren;Sonstige Fleisch- und Wurstwaren;188.0;23.3;9.9;1.4;8.0;0.8;20.0;
Roquefort;Milch und Milchprodukte;Hartkäse;363.0;19.2;31.7;0.2;600.0;0.4;27.0;milk
Brussels sprouts, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);39.0;3.7;0.5;3.2;28.0;0.8;20.0;
Brussels sprouts, raw;Gemüse;Gemüse frisch;43.0;4.0;0.5;3.5;31.0;1.1;23.0;
Sultana, dried;Früchte;Früchte getrocknet;321.0;3.0;0.9;73.2;80.0;2.3;41.0;
Rosemary, raw;Gemüse;Kräuter;62.0;0.8;2.5;7.7;210.0;4.8;36.0;
Rösti , unfried;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Kartoffeln;150.0;2.6;5.7;20.7;7.8;0.5;24.0;
Red cabbage, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);26.0;1.2;0.3;3.4;47.0;0.4;10.0;
Red cabbage, raw;Gemüse;Gemüse frisch;30.0;1.4;0.3;4.0;52.0;0.5;13.0;
Ruchbrot;Brote, Flocken und Frühstückscerealien;Brote und Brotwaren;234.0;9.5;1.2;44.3;20.0;1.6;38.0;
Ruchbrot;Brote, Flocken und Frühstückscerealien;Brote und Brotwaren;234.0;9.5;1.2;44.3;20.0;1.6;38.0;
Rocket, raw;Gemüse;Gemüse frisch;28.0;2.6;0.7;2.1;160.0;1.5;0.0;
Sablé, butter;Süssigkeiten;Guetzli;474.0;5.9;26.2;53.1;7.9;0.3;7.5;
Salametti;Fleisch- und Wurstwaren;Rohwurstware;343.0;14.8;31.4;0.3;3.0;0.9;16.0;
Salami;Fleisch- und Wurstwaren;Rohwurstware;367.0;24.1;30.1;0.0;0.0;1.3;18.0;
Salami;Fleisch- und Wurstwaren;Rohwurstware;422.0;22.0;37.1;0.0;0.0;1.2;17.0;
Sage, raw;Gemüse;Kräuter;59.0;1.7;2.1;6.9;270.0;4.5;69.0;
Salt;Verschiedenes;Salz, Gewürze und Aromen;0.0;0.0;0.0;0.0;140.0;24.0;0.0;
Seeds, kernels, nuts , unsalted;Nüsse, Samen und Ölfrüchte;;612.0;20.9;52.5;9.1;170.0;4.5;260.0;
Anchovy in oil, drained;Fisch;Meeresfische;182.0;26.4;8.5;0.2;290.0;2.7;230.0;
Anchovy paste;Verschiedenes;Aufstriche;272.0;19.8;21.3;0.2;220.0;2.1;170.0;
Sardine in oil, drained;Fisch;Meeresfische;215.0;23.0;13.7;0.0;400.0;2.5;37.0;
Sardine, raw;Fisch;Meeresfische;163.0;20.4;9.0;0.0;85.0;1.4;28.0;
Saucisse aux choux;Fleisch- und Wurstwaren;Rohwurstware;361.0;15.9;32.3;1.5;16.0;0.7;18.0;
Saucisson;Fleisch- und Wurstwaren;Rohwurstware;403.0;18.2;36.4;0.5;3.8;0.9;21.0;
Saucisson vaudois;Fleisch- und Wurstwaren;Rohwurstware;358.0;16.5;32.3;0.2;14.0;0.7;17.0;
Saucisson, cooked;Fleisch- und Wurstwaren;Rohwurstware;442.0;21.1;39.4;0.6;3.9;1.1;26.0;
Sauerkraut, pickled in vinegar;Gemüse;Gemüse gekocht (inkl. Konserven);19.0;1.3;0.3;1.7;36.0;0.5;11.0;
Sour cream;Fette und Öle;Rahm,Milch und Milchprodukte;336.0;2.4;35.0;2.8;73.0;0.1;7.0;
Sour half cream;Fette und Öle;Rahm,Milch und Milchprodukte;173.0;2.7;16.6;3.2;100.0;0.1;11.0;
Sbrinz;Milch und Milchprodukte;Hartkäse;415.0;28.0;33.2;0.0;1030.0;0.3;38.0;milk
Scampi , raw;Fisch;Meeresfrüchte, Krusten- und Schalentiere;93.0;19.6;1.3;0.8;29.0;2.0;68.0;
Sheep's milk;Milch und Milchprodukte;Milch;105.0;5.5;7.1;4.7;180.0;0.0;18.0;milk
Sparkling wine;Alkoholhaltige Getränke;Wein;71.0;0.2;0.0;1.5;10.0;0.8;6.0;
Ham croissants;Salzige Snacks;Blätterteiggebäcke,Gerichte;338.0;11.1;20.8;26.0;24.0;0.7;16.0;
Processed cheese, slice, cream;Milch und Milchprodukte;Käseerzeugnisse;327.0;14.3;30.0;0.0;550.0;0.9;45.0;milk
Processed cheese, slice, quarter fat;Milch und Milchprodukte;Käseerzeugnisse;155.0;19.4;8.6;0.0;600.0;0.9;45.0;milk
Processed cheese, slice, full-fat;Milch und Milchprodukte;Käseerzeugnisse;316.0;22.8;25.0;0.0;600.0;0.9;45.0;milk
Processed cheese, spreadable, cream;Milch und Milchprodukte;Käseerzeugnisse;316.0;12.9;29.4;0.0;400.0;0.9;30.0;milk
Processed cheese, spreadable, quarter-fat;Milch und Milchprodukte;Käseerzeugnisse;150.0;16.4;9.3;0.0;600.0;0.9;30.0;milk
Processed cheese, spreadable, full-fat;Milch und Milchprodukte;Käseerzeugnisse;247.0;14.1;21.2;0.0;500.0;0.9;30.0;milk
Chives, raw;Gemüse;Kräuter;30.0;3.0;0.6;1.9;86.0;1.5;40.0;
Chocolate, dark;Süssigkeiten;Schokolade und Kakaoerzeugnisse;537.0;5.7;31.8;53.4;48.0;6.7;120.0;
Chocolate, white;Süssigkeiten;Schokolade und Kakaoerzeugnisse;567.0;6.7;35.2;55.8;260.0;0.3;12.0;
Chocolate cream;Süssigkeiten;Cremen und Pudding;122.0;3.6;3.0;20.0;150.0;0.9;14.0;
Chocolate powder;Süssigkeiten;Schokolade und Kakaoerzeugnisse,Alkoholfreie Getränke;398.0;5.3;7.8;71.3;37.0;4.2;130.0;
Plaice, raw;Fisch;Meeresfische;86.0;17.1;1.9;0.0;61.0;0.9;22.0;
Schümliguetzli;Süssigkeiten;Guetzli;444.0;4.2;9.9;83.5;18.0;2.1;41.0;
Schümliguetzli with chocolate;Süssigkeiten;Guetzli;486.0;5.2;19.4;71.5;120.0;2.1;47.0;
Schützenwurst;Fleisch- und Wurstwaren;Brühwurstware;244.0;9.2;23.0;0.2;5.5;0.9;7.3;
Black salsify, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);57.0;1.5;0.5;2.2;56.0;3.1;22.0;
Black salsify, raw;Gemüse;Gemüse frisch;55.0;1.4;0.4;2.1;53.0;3.3;23.0;
Pork, breast tip, raw;Fleisch und Innereien;Schwein;239.0;17.9;18.6;0.0;6.0;0.7;19.0;
Pork, corner piece, Plätzli, roasted;Fleisch und Innereien;Schwein;162.0;33.0;3.3;0.0;12.0;2.6;27.0;
Pork, corner piece, raw;Fleisch und Innereien;Schwein;115.0;22.6;2.7;0.0;9.0;1.7;21.0;
Pork, fillet, roasted;Fleisch und Innereien;Schwein;153.0;29.3;4.0;0.0;10.0;1.7;30.0;
Pork, fillet, raw;Fleisch und Innereien;Schwein;121.0;22.2;3.6;0.0;8.0;1.2;25.0;
Pork, minced meat, raw;Fleisch und Innereien;Schwein;159.0;20.5;8.5;0.0;4.2;1.1;19.0;
Pork, cutlets, roasted;Fleisch und Innereien;Schwein;176.0;29.8;6.4;0.0;5.7;1.0;25.0;
Pork, cutlets, raw;Fleisch und Innereien;Schwein;134.0;21.3;5.4;0.0;4.3;0.7;20.0;
Pork, Neck, Steak, Roasted;Fleisch und Innereien;Schwein;255.0;26.4;16.6;0.0;5.0;1.3;23.0;
Pork, neck, steak, raw;Fleisch und Innereien;Schwein;203.0;18.9;14.1;0.0;3.8;0.9;18.0;
Pork, knuckle, braised;Fleisch und Innereien;Schwein;239.0;36.6;9.9;0.9;2.6;1.7;25.0;
Pork, knuckle, raw;Fleisch und Innereien;Schwein;173.0;25.6;7.6;0.7;2.0;1.1;25.0;
Pork, chop, roasted;Fleisch und Innereien;Schwein;240.0;31.3;12.8;0.0;6.8;0.6;27.0;
Pork, chop, raw;Fleisch und Innereien;Schwein;179.0;21.4;10.4;0.0;4.9;0.4;21.0;
Pork, liver, raw;Fleisch und Innereien;Schwein;131.0;20.7;4.9;0.9;7.6;18.0;23.0;
Pork, kidney piece, raw;Fleisch und Innereien;Schwein;138.0;22.9;5.1;0.0;3.7;0.4;21.0;
